Scheme,Latest NAV,Change,Prev NAV,Quantity,Inv. Price,Inv. Amt,52 Wk High/Low,Todays Gain,Todays Gain %,Overall Gain,Overall Gain %,Realised Gains,Latest Value
Aditya Birla Sun Life Frontline Equity Fund (G),217.59,-7.33,224.92,51.479,213.68,11000.03,236.62 / 206.62,-377,-3.26,201,1.83,,11201
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan (G) (13),231.91,-7.81,239.72,81.369,233.51,19000.48,251.99 / 219.50,-635,-3.26,-130,-0.69,,18870
Axis Bluechip Fund - Direct Plan (G) (3),34.44,-1.01,35.45,172.8,34.72,6000.01,36.54 / 28.77,-175,-2.85,-49,-0.81,,5951
DSP Equity Opportunities Fund - Direct Plan (G) (25),240.62,-7.16,247.78,117.686,229.45,27002.46,258.09 / 214.34,-843,-2.89,1316,4.87,,28318
DSP Equity Opportunities Fund - Regular Plan (G),226.96,-6.76,233.72,32.6,214.73,7000.2,243.63 / 204.09,-220,-2.89,399,5.7,,7399
HDFC Mid-Cap Opportunities Fund (G),54.06,-1.47,55.53,104.74,57.28,5999.51,57.43 / 48.25,-154,-2.64,-338,-5.62,,5662
HDFC Mid-Cap Opportunities Fund - Direct Plan (G) (14),57.4,-1.56,58.95,305.367,55.67,16999.97,60.97 / 51.07,-475,-2.64,527,3.1,,17527
Kotak Standard Multicap Fund - Direct Plan (G) (13),38.22,-1.36,39.58,516.839,36.76,19000.05,41.36 / 34.70,-702,-3.43,755,3.97,,19755
Kotak Standard Multicap Fund - Regular Plan (G),35.65,-1.27,36.92,340.38,32.32,11000.4,38.61 / 32.67,-432,-3.43,1136,10.32,,12136
L&T Emerging Businesses Fund - Direct Plan (G) (8),22.99,-0.65,23.64,444.565,24.74,11000,26.11 / 21.79,-291,-2.77,-781,-7.1,,10219
L&T Emerging Businesses Fund - Regular Plan (G),21.89,-0.62,22.52,222.31,26.99,6000.15,25.12 / 20.88,-139,-2.77,-1133,-18.88,,4867
Mirae Asset Large Cap Fund - Direct Plan (G) (18),54.03,-1.85,55.89,819.435,53.7,44000.07,58.77 / 50.18,-1519,-3.32,277,0.63,,44277
Mirae Asset Large Cap Fund - Regular Plan (G),50.67,-1.74,52.41,125.779,47.7,5999.66,55.19 / 47.57,-219,-3.32,374,6.23,,6374
Nippon India Small Cap Fund (G),38.94,-1.63,40.57,137.365,43.68,6000.1,41.97 / 33.96,-223,-4.01,-651,-10.85,,5349
Nippon India Small Cap Fund - Direct Plan (G) (10),41.7,-1.74,43.44,309.356,42.02,13000.03,44.93 / 36.21,-539,-4.01,-101,-0.78,,12899
Tata Digital India Fund - Direct Plan (G) (14),15.9,-0.86,16.76,1335.775,15.72,21000.01,17.39 / 15.06,-1154,-5.15,238,1.13,,21238
UTI Dynamic Bond Fund (G),19.59,-0.01,19.6,503.01,19.88,9999.84,20.72 / 19.06,-3,-0.03,-145,-1.45,,9855
TOTAL,,,,5620.855,,240002.96,,-8099,-3.24,1895,0.79,0,241897
